Image,Sigma,PSNR,SSIM
01.png,15,18.93,0.5835
01.png,25,18.38,0.5636
01.png,35,18.25,0.5523
01.png,50,17.72,0.5209
05.png,15,18.39,0.6348
05.png,25,18.33,0.6252
05.png,35,18.15,0.6124
05.png,50,17.96,0.5910
