Image,Sigma,PSNR,SSIM
01.png,15,25.33,0.5328
01.png,25,20.46,0.3597
01.png,35,17.77,0.2810
01.png,50,14.90,0.2081
05.png,15,24.32,0.6408
05.png,25,20.25,0.4883
05.png,35,17.44,0.3938
05.png,50,14.73,0.3039
