Image,Sigma,PSNR,SSIM
01.png,15,17.56,0.5151
01.png,25,17.11,0.5181
01.png,35,18.00,0.5042
01.png,50,17.51,0.4743
05.png,15,18.07,0.5994
05.png,25,16.63,0.5439
05.png,35,17.62,0.5840
05.png,50,17.14,0.5457
